"product_name","product_url","product_in_stock","product_price","product_price_url"
"Gosund Smart Light Switch, In-wall Wifi Smart Switch that Works with Alexa and Google Home, No Hub Required, Neutral Wire Needed, Single-Pole 15A, ETL and FCC Listed,4 Pack White","https://www.amazon.com/TanTan-Compatible-Single-Pole-required-Control/dp/B07MV1RTSV/ref=sr_1_17?keywords=smart+light&qid=1581477706&sr=8-17","","$69.99","https://www.amazon.com/TanTan-Compatible-Single-Pole-required-Control/dp/B07MV1RTSV/ref=sr_1_17?keywords=smart+light&qid=1581477706&sr=8-17"
"Light Bulb Camera,Include 16GB Card 1080P WiFi Security Camera, 2MP Wireles IP LED Cam,360 Degrees Panoramic VR Indoor/Outdoor Home Surveillance Cameras,Motion Detection/Night Vision/Alarm","https://www.amazon.com/Include-Security-Panoramic-Surveillance-Detection/dp/B082S9PBHK/ref=sr_1_18?keywords=smart+light&qid=1581477706&sr=8-18","","$32.99","https://www.amazon.com/Include-Security-Panoramic-Surveillance-Detection/dp/B082S9PBHK/ref=sr_1_18?keywords=smart+light&qid=1581477706&sr=8-18"
"Smart Light Bulbs E12 Base LED Candelabra Bulbs, Color Changing and Dimmable, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 4 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B07WGL5L8Q/ref=sr_1_19?keywords=smart+light&qid=1581477706&sr=8-19","","$39.99","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B07WGL5L8Q/ref=sr_1_19?keywords=smart+light&qid=1581477706&sr=8-19"
"Treatlife Smart Light Switch（Neutral Wire Required), 2.4Ghz Wi-Fi Light Switch, Works with Alexa and Google Assistant, Schedule, Remote Control, Single Pole, ETL Listed (4 PACK)","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R4MFWCQ/ref=sr_1_20?keywords=smart+light&qid=1581477706&sr=8-20","","$59.99","https://www.amazon.com/Treatlife-Smart-Light-Switch-Assistant/dp/B07R4MFWCQ/ref=sr_1_20?keywords=smart+light&qid=1581477706&sr=8-20"
"Smart Alexa Light Bulbs, SAUDIO WiFi LED Bulbs RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 2 Pack","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B082WT4CPW/ref=sr_1_21?keywords=smart+light&qid=1581477706&sr=8-21","","$19.99","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B082WT4CPW/ref=sr_1_21?keywords=smart+light&qid=1581477706&sr=8-21"
"DAYBETTER LED Strip Lights, Smart LED Lights 16.4ft Waterproof 5050 RGB Color Changing Controlled by Phone APP, Sync to Music, WiFi LED Strips Work with Alexa, Google Assistant for Bedroom","https://www.amazon.com/DAYBETTER-Waterproof-Changing-Controlled-Assistant/dp/B07VNG9ZLM/ref=sr_1_22?keywords=smart+light&qid=1581477706&sr=8-22","","$26.99","https://www.amazon.com/DAYBETTER-Waterproof-Changing-Controlled-Assistant/dp/B07VNG9ZLM/ref=sr_1_22?keywords=smart+light&qid=1581477706&sr=8-22"
"OHLUX Smart WiFi LED Light Bulbs Compatible with Alexa Google Home and IFTTT(No Hub Required), RGBCW Multi-Color, Warm to Cool White Dimmable, 60W Equivalent, 7W E26 A19 Color Changing Bulb-4PACK","https://www.amazon.com/OHLUX-Compatible-Equivalent-Multi-Color-Bulb-4PACK/dp/B07LCB3HQJ/ref=sr_1_23?keywords=smart+light&qid=1581477706&sr=8-23","","$39.99","https://www.amazon.com/OHLUX-Compatible-Equivalent-Multi-Color-Bulb-4PACK/dp/B07LCB3HQJ/ref=sr_1_23?keywords=smart+light&qid=1581477706&sr=8-23"
"Smart Light Bulb Compatible with Alexa Google Home, NiteBird A19 E26 WiFi Dimmable Warm White 2700K LED Lights Bulbs, 75W Equivalent, No Hub Required, 2 Pack","https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B082DWK146/ref=sr_1_24?keywords=smart+light&qid=1581477706&sr=8-24","","$16.99","https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B082DWK146/ref=sr_1_24?keywords=smart+light&qid=1581477706&sr=8-24"
"Dusk to Dawn Light Bulb Sensor Smart LED Outdoor Lighting Bulbs Lamp 7W E26/E27 Automatic On/Off, Indoor/Outdoor Yard Porch Patio Garden (Warm White, 3 Pack)","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_25?keywords=smart+light&qid=1581477706&sr=8-25","","$21.99","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_25?keywords=smart+light&qid=1581477706&sr=8-25"
"Smart Light Bulb Alexa LED Color Changing Light Bulbs,TECKIN A19 E27 60W 800LM Equivalent Compatible with Google Home,IFTTT,2800K-6000K Cold and Warm Light WiFi Blubs(7.5W),2pack","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B07ZJHKC8W/ref=sr_1_26?keywords=smart+light&qid=1581477706&sr=8-26","","$24.58","https://www.amazon.com/Changing-TECKIN-Equivalent-Compatible-2800K-6000K/dp/B07ZJHKC8W/ref=sr_1_26?keywords=smart+light&qid=1581477706&sr=8-26"
